Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
133.500	-0.042	133.446	47.788	4.413
133.600	0.033	133.544	80.654	4.453
133.700	-0.024	133.644	120.804	4.386
133.800	0.090	133.747	171.675	4.769
133.900	-0.003	133.847	176.441	5.272
134.000	-0.016	133.941	242.847	5.600
134.100	0.037	134.046	242.638	6.252
134.200	0.014	134.140	238.799	0.159
134.300	0.013	134.241	272.051	0.826
134.400	-0.008	134.347	229.314	1.176
134.500	-0.025	134.442	191.412	1.610
134.600	-0.011	134.540	163.903	1.768
134.700	-0.059	134.642	208.417	1.823
134.800	0.017	134.745	234.141	2.375
134.900	-0.066	134.844	209.999	2.536
135.000	0.073	134.939	307.982	3.003
135.100	-0.033	135.048	280.230	3.429
135.200	0.027	135.141	310.251	3.661
135.300	0.017	135.244	345.150	4.194
135.400	0.028	135.345	337.262	4.538
135.500	0.046	135.444	367.336	5.031
135.600	0.075	135.543	368.224	5.357
135.700	0.060	135.642	442.073	5.772
135.800	-0.060	135.740	432.423	0.085
135.900	0.062	135.844	442.580	0.450
136.000	0.077	135.944	415.115	0.933
136.100	-0.055	136.039	377.587	1.257
136.200	0.014	136.141	431.468	1.780
136.300	-0.029	136.242	344.371	2.118
136.400	-0.019	136.345	426.986	2.460
136.500	0.072	136.441	403.208	2.926
136.600	-0.015	136.543	446.403	3.210
136.700	0.050	136.647	548.553	3.981
136.800	-0.014	136.744	455.410	4.472
136.900	-0.013	136.843	397.325	5.086
137.000	-0.056	136.948	267.118	5.675
137.100	0.012	137.043	214.224	5.699
137.200	-0.010	137.145	195.884	6.066
137.300	-0.002	137.250	177.384	6.217
137.400	0.058	137.344	264.024	0.143
137.500	0.016	137.439	208.597	0.983
137.600	0.018	137.541	136.135	1.061
137.700	-0.040	137.646	160.211	1.414
137.800	-0.010	137.744	85.803	1.515
137.900	-0.027	137.846	158.385	1.550
138.000	-0.020	137.942	149.111	2.029
138.100	-0.027	138.044	202.382	2.164
138.200	-0.039	138.144	230.201	2.751
138.300	-0.077	138.245	263.039	3.250
138.400	0.047	138.340	229.389	3.954
138.500	0.004	138.445	148.538	4.188
138.600	-0.035	138.542	151.164	4.549
138.700	0.046	138.644	113.092	4.785
138.800	0.002	138.743	100.049	4.885
138.900	-0.048	138.845	87.684	4.517
139.000	-0.009	138.947	183.013	4.800
139.100	0.016	139.051	230.725	5.358
139.200	-0.011	139.149	247.667	5.782
139.300	0.002	139.242	290.129	6.165
139.400	0.026	139.344	303.031	0.310
139.500	0.053	139.447	324.358	0.578
139.600	0.088	139.543	414.132	1.022
139.700	-0.015	139.646	451.290	1.544
139.800	-0.006	139.748	521.197	2.062
139.900	0.074	139.839	461.383	2.597
140.000	-0.026	139.946	463.936	2.975
140.100	0.030	140.046	543.628	3.310
140.200	-0.021	140.143	620.690	3.834
140.300	-0.018	140.243	518.154	4.454
140.400	-0.020	140.346	532.391	4.734
140.500	-0.046	140.440	588.049	5.270
140.600	0.026	140.541	566.323	5.613
140.700	-0.117	140.650	703.478	6.276
140.800	0.008	140.737	555.845	0.531
140.900	-0.043	140.848	562.503	0.966
141.000	0.064	140.943	475.512	1.581
141.100	0.009	141.040	389.392	1.986
141.200	-0.078	141.143	368.545	2.338
141.300	-0.026	141.249	324.568	2.791
141.400	-0.075	141.344	309.394	3.096
141.500	0.086	141.444	283.267	3.692
141.600	0.000	141.544	208.352	4.005
141.700	0.070	141.646	188.915	4.282
141.800	-0.015	141.738	176.235	4.776
141.900	-0.018	141.847	119.764	5.128
142.000	-0.043	141.942	96.897	5.449
142.100	0.007	142.047	52.830	4.943
142.200	0.008	142.142	100.423	4.887
142.300	-0.037	142.243	122.016	5.240
142.400	0.007	142.335	202.246	5.574
142.500	0.060	142.442	200.214	0.035
142.600	-0.016	142.548	210.296	0.264
142.700	-0.013	142.640	215.543	0.980
142.800	-0.020	142.745	157.865	1.253
142.900	-0.005	142.841	177.217	1.570
143.000	-0.013	142.941	145.530	1.946
143.100	-0.026	143.042	138.342	2.221
143.200	-0.024	143.143	153.772	2.313
143.300	0.003	143.248	171.450	2.662
143.400	-0.003	143.341	176.240	2.977
143.500	-0.002	143.441	211.062	3.178
143.600	-0.017	143.546	275.036	3.659
143.700	0.029	143.642	246.392	4.207
143.800	0.037	143.746	220.472	4.419
143.900	-0.001	143.850	284.653	4.859
144.000	0.025	143.944	266.313	5.153
144.100	0.024	144.043	376.895	5.553
144.200	-0.015	144.143	329.331	6.117
144.300	-0.011	144.244	417.052	0.015
144.400	-0.026	144.341	462.055	0.693
144.500	0.031	144.441	472.515	1.088
144.600	0.026	144.540	499.988	1.794
144.700	-0.035	144.640	415.340	2.229
144.800	0.106	144.741	453.188	2.718
144.900	0.059	144.845	352.190	3.223
145.000	-0.071	144.945	344.605	3.463
145.100	-0.045	145.044	336.043	4.086
145.200	0.025	145.142	287.873	4.348
145.300	-0.013	145.242	290.780	4.959
145.400	0.010	145.341	182.194	5.245
145.500	0.021	145.445	193.418	5.274
145.600	0.027	145.548	226.274	5.595
145.700	0.002	145.648	259.128	6.024
145.800	-0.009	145.740	283.616	0.417
145.900	0.011	145.844	178.962	0.902
146.000	-0.027	145.954	139.866	0.873
146.100	0.009	146.045	146.585	1.299
146.200	-0.030	146.140	150.781	1.402
146.300	-0.016	146.242	180.087	1.716
146.400	-0.067	146.349	176.935	2.231
146.500	0.041	146.443	179.072	2.413
146.600	-0.058	146.539	211.619	2.892
146.700	0.023	146.641	194.006	3.387
146.800	0.035	146.743	177.455	3.824
146.900	0.053	146.843	145.463	4.046
147.000	-0.007	146.944	144.533	4.479
147.100	0.003	147.041	119.504	4.800
147.200	0.035	147.138	92.260	4.863
147.300	0.023	147.245	83.835	4.707
147.400	0.048	147.341	167.946	4.713
147.500	0.014	147.448	257.602	5.265
147.600	0.015	147.538	305.540	5.728
147.700	-0.046	147.642	346.947	0.210
147.800	-0.085	147.743	316.395	0.507
147.900	0.037	147.844	366.642	0.930
148.000	0.022	147.942	315.480	1.410
148.100	-0.011	148.041	393.683	1.825
148.200	-0.075	148.142	385.794	2.444
148.300	0.024	148.244	330.072	2.678
148.400	-0.066	148.344	344.111	3.082
148.500	0.078	148.450	373.951	3.407
148.600	0.031	148.542	451.875	3.803
148.700	-0.027	148.646	417.789	4.349
148.800	-0.016	148.743	452.681	4.769
148.900	0.077	148.844	454.723	5.346
149.000	-0.057	148.943	496.906	5.743
149.100	0.141	149.043	481.890	0.113
149.200	0.080	149.143	369.159	0.461
149.300	-0.062	149.243	402.108	0.922
149.400	-0.002	149.349	327.534	1.458
149.500	0.052	149.443	299.361	1.866
149.600	-0.019	149.542	255.389	2.279
149.700	0.021	149.642	224.498	2.600
149.800	0.063	149.747	219.099	2.810
149.900	0.054	149.841	230.213	3.289
150.000	0.002	149.949	184.955	3.695
150.100	-0.031	150.045	182.016	3.927
150.200	0.025	150.142	172.002	4.355
150.300	-0.002	150.243	179.931	4.633
150.400	0.030	150.350	176.019	5.223
150.500	0.000	150.447	142.511	5.755
150.600	-0.012	150.539	87.547	6.013
150.700	0.044	150.643	69.366	5.913
150.800	-0.043	150.744	89.164	5.939
150.900	0.022	150.841	104.956	6.230
151.000	-0.007	150.940	112.065	0.210
151.100	0.021	151.048	123.559	0.426
151.200	0.025	151.140	166.883	0.840
151.300	-0.047	151.246	173.344	1.644
151.400	0.035	151.352	120.922	1.973
151.500	0.013	151.448	122.764	2.354
151.600	-0.024	151.543	81.645	2.458
151.700	0.044	151.646	101.812	2.294
151.800	-0.037	151.744	129.909	2.498
151.900	0.025	151.854	191.432	2.797
152.000	0.096	151.943	290.690	3.349
152.100	0.025	152.045	245.597	4.016
152.200	-0.010	152.144	257.735	4.195
152.300	-0.040	152.241	285.837	4.699
152.400	0.044	152.343	335.026	5.088
152.500	-0.069	152.446	385.811	5.710
152.600	0.022	152.546	345.767	6.080
152.700	-0.048	152.641	413.793	0.196
152.800	-0.030	152.742	364.298	0.757
152.900	0.010	152.839	410.665	1.078
153.000	-0.057	152.941	385.010	1.735
153.100	-0.030	153.039	369.106	2.092
153.200	0.043	153.140	367.922	2.633
153.300	-0.016	153.242	307.066	2.905
153.400	-0.052	153.345	374.760	3.255
153.500	-0.098	153.446	332.587	3.785
153.600	0.009	153.544	378.740	4.135
153.700	-0.003	153.646	330.356	4.837
153.800	0.023	153.744	283.538	5.143
153.900	-0.033	153.843	300.565	5.634
154.000	0.032	153.946	234.733	6.139
154.100	0.027	154.040	193.908	0.166
154.200	0.020	154.143	152.790	0.520
154.300	-0.020	154.244	128.479	0.490
154.400	0.018	154.346	153.511	0.746
154.500	-0.005	154.444	153.840	1.034
154.600	-0.034	154.544	174.822	1.475
154.700	0.006	154.645	166.129	1.973
154.800	-0.028	154.742	133.862	2.303
154.900	-0.006	154.843	115.190	2.386
155.000	-0.024	154.946	138.854	2.657
155.100	0.011	155.045	146.076	2.693
155.200	-0.087	155.141	221.468	3.086
155.300	-0.066	155.242	246.646	3.561
155.400	0.004	155.345	276.732	4.208
155.500	-0.048	155.445	234.405	4.690
155.600	-0.005	155.545	219.402	5.127
155.700	-0.025	155.638	208.530	5.355
155.800	-0.020	155.745	236.209	5.918
155.900	-0.009	155.840	139.945	6.203
156.000	-0.004	155.943	188.746	6.225
156.100	-0.005	156.042	185.989	0.288
156.200	-0.030	156.147	247.475	0.551
156.300	0.021	156.243	246.766	1.185
156.400	0.016	156.342	221.876	1.283
156.500	0.007	156.438	313.669	1.687
156.600	0.031	156.542	301.315	2.196
156.700	-0.087	156.647	359.705	2.488
156.800	-0.071	156.747	415.889	3.034
156.900	0.053	156.844	412.704	3.414
157.000	-0.058	156.939	484.996	3.960
157.100	0.036	157.047	419.773	4.482
157.200	-0.027	157.138	491.707	4.822
