Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
135.800	-0.137	135.746	433.099	2.957
135.900	-0.011	135.845	458.160	3.337
136.000	0.015	135.952	426.872	3.828
136.100	0.046	136.040	397.838	4.085
136.200	-0.032	136.141	425.625	4.642
136.300	-0.025	136.245	362.004	4.860
136.400	0.057	136.335	483.070	5.215
136.500	0.017	136.439	451.075	5.722
136.600	0.137	136.546	512.556	6.081
136.700	0.124	136.646	546.551	0.640
136.800	-0.082	136.746	430.347	1.061
136.900	0.036	136.838	365.016	1.566
137.000	0.008	136.941	243.313	2.032
137.100	-0.064	137.041	230.914	2.133
137.200	0.028	137.142	212.666	2.401
137.300	0.003	137.244	182.331	2.595
137.400	0.022	137.342	264.124	2.903
137.500	-0.011	137.442	196.826	3.709
137.600	0.005	137.540	142.772	3.573
137.700	0.030	137.643	151.273	4.120
137.800	-0.006	137.748	94.647	3.964
137.900	0.030	137.841	193.789	4.183
138.000	0.028	137.947	168.712	4.590
138.100	0.012	138.042	229.312	4.779
138.200	0.033	138.145	274.205	5.431
138.300	-0.051	138.247	263.159	6.038
138.400	0.069	138.347	188.481	0.331
138.500	0.005	138.440	143.177	0.380
138.600	0.033	138.543	144.789	0.757
138.700	0.002	138.651	106.443	1.008
138.800	0.046	138.741	98.823	0.847
138.900	0.018	138.841	148.510	0.672
139.000	0.003	138.947	208.744	1.164
139.100	-0.004	139.043	265.014	1.576
139.200	0.016	139.139	280.637	2.054
139.300	-0.025	139.240	324.372	2.387
139.400	-0.019	139.351	344.958	2.838
139.500	0.022	139.443	363.378	3.129
139.600	-0.061	139.542	464.406	3.559
139.700	-0.020	139.639	500.662	4.078
139.800	-0.040	139.745	523.025	4.550
139.900	0.014	139.835	525.571	5.014
140.000	-0.033	139.946	582.616	5.475
140.100	0.007	140.047	551.471	5.872
140.200	-0.103	140.148	593.100	0.034
140.300	0.074	140.240	558.712	0.562
140.400	0.053	140.342	608.295	0.823
140.500	0.103	140.443	711.489	1.423
140.600	-0.034	140.541	586.033	1.890
140.700	0.031	140.640	707.576	2.350
140.800	-0.076	140.738	591.954	3.000
140.900	-0.070	140.842	549.441	3.409
141.000	0.108	140.945	489.124	3.981
141.100	0.036	141.043	382.889	4.349
141.200	0.081	141.147	382.900	4.618
141.300	-0.003	141.241	351.411	5.141
141.400	0.020	141.342	296.550	5.549
141.500	0.044	141.439	264.506	5.934
141.600	-0.009	141.546	215.001	0.020
141.700	0.073	141.640	183.483	0.258
141.800	-0.058	141.747	177.736	0.775
141.900	-0.032	141.844	100.303	1.216
142.000	-0.039	141.948	80.932	0.905
142.100	-0.003	142.045	62.417	0.782
142.200	0.016	142.142	129.509	0.629
142.300	0.007	142.247	168.505	1.379
142.400	0.034	142.342	204.380	1.439
142.500	0.029	142.441	243.293	2.338
142.600	0.014	142.543	196.933	2.593
142.700	0.003	142.641	231.883	3.142
142.800	0.054	142.745	152.503	3.392
142.900	-0.008	142.839	190.187	3.687
143.000	-0.017	142.947	145.688	4.117
143.100	-0.012	143.040	160.181	4.060
143.200	-0.007	143.147	184.697	4.473
143.300	-0.021	143.244	177.203	4.800
143.400	-0.042	143.343	211.652	4.927
143.500	-0.013	143.448	259.660	5.442
143.600	-0.025	143.545	245.228	5.777
143.700	0.089	143.643	276.669	6.250
143.800	-0.001	143.744	264.805	0.282
143.900	0.010	143.840	312.677	0.504
144.000	0.031	143.942	308.790	1.021
144.100	-0.016	144.049	376.533	1.233
144.200	-0.086	144.148	428.177	1.844
144.300	0.049	144.249	433.132	2.150
144.400	-0.038	144.343	560.901	2.809
144.500	-0.034	144.445	463.742	3.276
144.600	0.008	144.546	532.068	3.750
144.700	0.073	144.642	443.635	4.324
144.800	0.001	144.747	425.910	4.618
144.900	-0.051	144.851	407.682	5.262
145.000	-0.062	144.941	328.588	5.534
145.100	-0.027	145.049	354.502	6.032
145.200	-0.039	145.144	256.380	0.128
145.300	-0.019	145.243	271.157	0.349
145.400	-0.005	145.343	233.906	0.819
145.500	0.030	145.447	193.080	0.909
145.600	0.021	145.541	291.085	1.179
145.700	0.003	145.647	264.674	1.824
145.800	-0.009	145.740	222.002	2.150
145.900	-0.047	145.846	198.026	2.759
146.000	-0.015	145.943	145.658	2.774
146.100	-0.037	146.044	169.766	2.922
146.200	-0.006	146.148	166.197	3.204
146.300	0.044	146.241	196.723	3.603
146.400	0.038	146.345	186.490	3.893
146.500	-0.016	146.443	210.739	4.249
146.600	-0.038	146.536	225.732	4.671
146.700	-0.001	146.648	201.766	5.225
146.800	0.032	146.748	155.297	5.577
146.900	0.027	146.846	160.774	5.821
147.000	-0.037	146.945	133.197	6.133
147.100	-0.010	147.047	110.802	0.142
147.200	0.009	147.149	100.328	6.250
147.300	0.019	147.242	121.694	6.269
